rank,domain,classification,confidence_score,gta_events,total_events,gta_percentage,location_signals,sample_events
1,umichtoronto.org,confirmed,0.70,11,11,100.0,postal:11,UM vs Ohio State | UM vs Michigan State University
2,www.kleinburgchristian.ca,possible,0.32,5,15,33.3,locality:5,2024 KCA March Break | All School Chapel
